x,y
152,560
153,560
154,560
155,560
156,560
157,560
158,560
153,561
154,561
155,561
156,561
157,561
158,561
154,562
155,562
156,562
157,562
158,562
159,562
154,563
155,563
156,563
157,563
158,563
159,563
155,564
156,564
157,564
158,564
159,564
156,565
157,565
158,565
159,565
157,566
158,566
159,566
158,567
159,567
158,568
159,568
159,569
100,480
101,480
102,480
103,480
104,480
105,480
106,480
107,480
108,480
109,480
110,480
121,480
122,480
123,480
124,480
125,480
126,480
127,480
128,480
101,481
102,481
103,481
104,481
105,481
106,481
107,481
108,481
122,481
123,481
124,481
125,481
126,481
127,481
128,481
129,481
102,482
103,482
104,482
105,482
106,482
107,482
108,482
109,482
122,482
123,482
124,482
125,482
126,482
127,482
128,482
129,482
130,482
103,483
104,483
105,483
106,483
107,483
108,483
109,483
110,483
123,483
124,483
125,483
126,483
127,483
128,483
129,483
130,483
131,483
103,484
104,484
105,484
106,484
107,484
108,484
109,484
110,484
124,484
125,484
126,484
127,484
128,484
129,484
130,484
131,484
132,484
136,484
104,485
105,485
106,485
107,485
108,485
109,485
110,485
111,485
124,485
125,485
126,485
127,485
128,485
129,485
130,485
131,485
132,485
133,485
134,485
137,485
138,485
105,486
106,486
107,486
108,486
109,486
110,486
111,486
112,486
125,486
126,486
127,486
128,486
129,486
130,486
131,486
132,486
133,486
134,486
135,486
139,486
105,487
106,487
107,487
108,487
109,487
110,487
111,487
112,487
122,487
126,487
127,487
128,487
129,487
130,487
131,487
132,487
133,487
106,488
107,488
108,488
109,488
110,488
111,488
112,488
113,488
123,488
124,488
127,488
128,488
129,488
130,488
131,488
132,488
133,488
134,488
105,489
106,489
107,489
108,489
109,489
110,489
111,489
112,489
113,489
114,489
123,489
124,489
125,489
126,489
127,489
128,489
129,489
130,489
131,489
132,489
133,489
134,489
106,490
107,490
108,490
109,490
110,490
111,490
112,490
113,490
114,490
115,490
124,490
125,490
128,490
129,490
130,490
131,490
132,490
133,490
134,490
135,490
107,491
108,491
109,491
110,491
111,491
112,491
113,491
114,491
115,491
116,491
125,491
126,491
129,491
130,491
131,491
132,491
133,491
134,491
135,491
136,491
107,492
108,492
109,492
110,492
111,492
112,492
113,492
114,492
115,492
116,492
129,492
130,492
131,492
132,492
133,492
134,492
135,492
136,492
108,493
109,493
110,493
111,493
112,493
113,493
114,493
115,493
116,493
117,493
130,493
131,493
132,493
133,493
134,493
135,493
136,493
137,493
109,494
110,494
111,494
112,494
113,494
114,494
115,494
116,494
117,494
118,494
131,494
132,494
133,494
134,494
135,494
136,494
137,494
138,494
109,495
110,495
111,495
112,495
113,495
114,495
115,495
116,495
131,495
132,495
133,495
134,495
135,495
136,495
137,495
138,495
0,496
110,496
111,496
112,496
113,496
114,496
115,496
116,496
117,496
132,496
133,496
134,496
135,496
136,496
137,496
138,496
139,496
1,497
2,497
111,497
112,497
113,497
114,497
115,497
116,497
117,497
118,497
119,497
133,497
134,497
135,497
136,497
137,497
138,497
139,497
140,497
3,498
4,498
112,498
113,498
114,498
115,498
116,498
117,498
118,498
119,498
120,498
133,498
134,498
135,498
136,498
137,498
138,498
139,498
140,498
4,499
5,499
113,499
114,499
115,499
116,499
117,499
118,499
119,499
120,499
121,499
122,499
134,499
135,499
136,499
137,499
138,499
139,499
140,499
141,499
6,500
7,500
113,500
114,500
115,500
116,500
117,500
118,500
119,500
120,500
135,500
136,500
137,500
138,500
139,500
140,500
141,500
142,500
8,501
9,501
114,501
115,501
116,501
117,501
118,501
119,501
120,501
121,501
136,501
137,501
138,501
139,501
140,501
141,501
142,501
10,502
11,502
115,502
116,502
117,502
118,502
119,502
120,502
121,502
122,502
136,502
137,502
138,502
139,502
140,502
141,502
142,502
143,502
12,503
13,503
115,503
116,503
117,503
118,503
119,503
120,503
121,503
122,503
137,503
138,503
139,503
140,503
141,503
142,503
143,503
144,503
14,504
15,504
116,504
117,504
118,504
119,504
120,504
121,504
122,504
123,504
138,504
139,504
140,504
141,504
142,504
143,504
144,504
145,504
15,505
16,505
117,505
118,505
119,505
120,505
121,505
122,505
123,505
124,505
136,505
137,505
138,505
139,505
140,505
141,505
142,505
143,505
144,505
145,505
17,506
18,506
118,506
119,506
120,506
121,506
122,506
123,506
124,506
125,506
137,506
138,506
139,506
140,506
141,506
142,506
143,506
144,506
145,506
146,506
19,507
20,507
119,507
120,507
121,507
122,507
123,507
124,507
125,507
138,507
139,507
140,507
141,507
142,507
143,507
144,507
145,507
146,507
147,507
21,508
22,508
117,508
118,508
119,508
120,508
121,508
122,508
123,508
124,508
125,508
126,508
138,508
139,508
140,508
141,508
142,508
143,508
144,508
145,508
146,508
147,508
23,509
24,509
118,509
119,509
120,509
121,509
122,509
123,509
124,509
125,509
126,509
127,509
139,509
140,509
141,509
142,509
143,509
144,509
145,509
146,509
147,509
148,509
25,510
26,510
119,510
120,510
121,510
122,510
123,510
124,510
125,510
126,510
127,510
140,510
141,510
142,510
143,510
144,510
145,510
146,510
26,511
27,511
120,511
121,511
122,511
123,511
124,511
125,511
126,511
127,511
128,511
141,511
142,511
143,511
144,511
145,511
146,511
147,511
28,512
29,512
120,512
121,512
122,512
123,512
124,512
